CREATE VIEW
Q5 - fornecedores com maior total pago (57a legislatura - Cota Parlamentar)
=============================================================================

Resumo executivo - totais por ano e concentracao no top 30
 ano_dados | fornecedores | lancamentos |  total_pago  | pct_top_30 
-----------+--------------+-------------+--------------+------------
      2023 |        20101 |      213240 | 245280034.40 |      31.58
      2024 |        21102 |      220401 | 263302700.07 |      28.81
      2025 |        20996 |      200157 | 249254389.30 |      24.07
      2026 |        13463 |       59581 |  80671674.70 |      12.13
(4 rows)


Tabela principal - top 30 fornecedores por ano (maior total pago)
 ano_dados | posicao |                  fornecedor                  | qtd_lancamentos | total_pago  | pct_total 
-----------+---------+----------------------------------------------+-----------------+-------------+-----------
      2023 |       1 | TAM                                          |           29220 | 32631382.83 |     13.30
      2023 |       2 | GOL                                          |           10377 | 13314107.72 |      5.43
      2023 |       3 | AZUL                                         |            8809 |  9328167.54 |      3.80
      2023 |       4 | PANTANAL VEICULOS                            |             809 |  3251875.91 |      1.33
      2023 |       5 | FACEBOOK ONLINE BRASIL                       |             603 |  1764707.96 |      0.72
      2023 |       6 | SUPREMA MOBILIDADE                           |             325 |  1648440.70 |      0.67
      2023 |       7 | NOVACAR LOCADORA VEICULOS                    |             232 |  1149011.00 |      0.47
      2023 |       8 | LOCALIZA RENT A CAR                          |             513 |  1060547.80 |      0.43
      2023 |       9 | TELEFONICA BRASIL VIVO                       |            2041 |   938914.71 |      0.38
      2023 |      10 | ELDORADO COMUNICACAO JORNALISMO              |             141 |   878856.07 |      0.36
      2023 |      11 | CIA AEREA TAM                                |             557 |   864352.27 |      0.35
      2023 |      12 | DALETH VEICULOS                              |             202 |   845619.00 |      0.34
      2023 |      13 | HPE AUTOMOTORES BRASIL                       |              98 |   778478.70 |      0.32
      2023 |      14 | VIA LOCADORA AUTOMOVEIS                      |             139 |   772928.11 |      0.32
      2023 |      15 | CELULAR FUNCIONAL                            |            3482 |   723194.20 |      0.29
      2023 |      16 | WMS ARTIGOS PAPELARIA                        |             803 |   612684.46 |      0.25
      2023 |      17 | I9 SOLUCOES EM MARKETING MIDIAS DIGITAIS     |              66 |   612450.00 |      0.25
      2023 |      18 | CIA AEREA GOL                                |             534 |   599887.36 |      0.24
      2023 |      19 | TELEFONICA BRASIL                            |            1185 |   574816.71 |      0.23
      2023 |      20 | HORIZONTE 16 LOCADORA VEICULOS               |              62 |   557334.42 |      0.23
      2023 |      21 | GOLD CAR BRASILIA LOCADORA VEICULOS          |              96 |   510764.04 |      0.21
